!submit
TYMCOM-X Job Processor  %1(212)  22-Oct-87 09:33:05

SUBMIT> list

  Job     Req     Time   UserName      Next Run         Status
  CHAMBR  19431   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19432   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19433   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19434   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19435   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19436   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19437   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19438   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19439   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19440   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19441   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19442   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19443   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19444   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19445   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19446   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19447   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19448   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19449   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19450   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19451   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19452   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19453   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19454   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19455   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19456   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19457   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19458   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19459   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19460   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19461   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19462   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19463   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19465   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19466   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19467   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19468   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19469   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19470   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19471   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19472   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19473   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19474   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19475   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19476   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19477   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19478   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19479   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19480   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19481   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19482   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19483   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19484   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19485   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19486   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19487   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19488   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19489   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19490   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
