25apr90 20:11:20 #21 (DCSOPEN) RUN (SYS)SENDMA
25apr90 20:11:20 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:11:21 #21 (DCSOPEN) RUN (MAIL)SENDMA
25apr90 20:11:21 #21 (DCSOPEN) RUNLIC 140012,,40012
25apr90 20:11:22 #21 (DCSOPEN) NEXIT (MAIL)SENDMA
25apr90 20:11:46 #21 (DCSOPEN) RUN (SYS)LOGOUT
25apr90 20:11:46 #21 (DCSOPEN) RUNLIC 547012,,40012
25apr90 20:11:47 #21 (DCSOPEN) LOGOUT TRUs = 1025.7
25apr90 20:11:49 #19 (DCSOPEN) RUN (SYS)LOGOUT
25apr90 20:11:49 #19 (DCSOPEN) RUNLIC 547000,,0
25apr90 20:11:50 #19 (DCSOPEN) LOGOUT TRUs = 83.9
25apr90 20:12:54 #24 (DCSOPEN) CREAUX RAILDIAL:114 port=165
25apr90 20:13:05 #24 (DCSOPEN) CREAUX RAILDIAL:114 port=157
25apr90 20:15:21 #24 (DCSOPEN) CREAUX RAILDIAL:114 port=157
25apr90 20:15:32 #24 (DCSOPEN) CREAUX RAILDIAL:114 port=156
25apr90 20:16:25 #25 (DCSOPEN) RUN (SYS)RPG
25apr90 20:16:25 #25 (DCSOPEN) RUNLIC 2000,,0
25apr90 20:16:26 #25 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 20:16:26 #25 (DCSOPEN) RUNLIC 200,,0
25apr90 20:16:27 #25 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 20:16:28 #25 (DCSOPEN) EXIT (MAGNUM)MAGNUM
25apr90 20:16:28 #25 (DCSOPEN) RUN (SYS)GFD
25apr90 20:16:28 #25 (DCSOPEN) RUNLIC 5010,,0
25apr90 20:16:29 #25 (DCSOPEN) NEXIT (SYS)GFD
25apr90 20:16:30 #25 (DCSOPEN) RUN (SYS)RPG
25apr90 20:16:30 #25 (DCSOPEN) RUNLIC 2000,,0
25apr90 20:16:31 #25 (DCSOPEN) RUN (SYS)RDMAIL
25apr90 20:16:31 #25 (DCSOPEN) RUNLIC 10,,0
25apr90 20:16:32 #25 (DCSOPEN) RUN (MAIL)RDMAIL
25apr90 20:16:32 #25 (DCSOPEN) RUNLIC 140012,,0
25apr90 20:16:34 #25 (DCSOPEN) NEXIT (MAIL)RDMAIL
25apr90 20:16:35 #25 (DCSOPEN) RUN (SYS)LOGOUT
25apr90 20:16:35 #25 (DCSOPEN) RUNLIC 547000,,0
25apr90 20:16:35 #25 (DCSOPEN) LOGOUT TRUs = 105.3
25apr90 20:18:33 #24 (DCSOPEN) CREAUX RAILDIAL:114 port=165
25apr90 20:19:14 #24 (DCSOPEN) CREAUX RAILDIAL:114 port=156
25apr90 20:21:31 #24 (DCSOPEN) CREAUX RAILDIAL:114 port=156
25apr90 20:21:41 #24 (DCSOPEN) CREAUX RAILDIAL:114 port=155
25apr90 20:21:47 #19 (DCSOPEN) LOGIN St. Louis :0 TID='20
25apr90 20:21:48 #19 (DCSOPEN) PJC PJC=DCS, VFY=0
25apr90 20:21:48 #19 (DCSOPEN) NEXIT (SYS)LOGINN
25apr90 20:21:56 #19 (DCSOPEN) RUN (SYS)RPG
25apr90 20:21:56 #19 (DCSOPEN) RUNLIC 2000,,0
25apr90 20:21:57 #19 (DCSOPEN) RUN (SYS)EDITOR
25apr90 20:22:10 #19 (DCSOPEN) NEXIT (SYS)EDITOR
25apr90 20:22:17 #19 (DCSOPEN) RUN (SYS)RPG
25apr90 20:22:17 #19 (DCSOPEN) RUNLIC 2000,,0
25apr90 20:22:17 #19 (DCSOPEN) RUN (SYS)RDMAIL
25apr90 20:22:17 #19 (DCSOPEN) RUNLIC 10,,0
25apr90 20:22:17 #19 (DCSOPEN) RUN (MAIL)RDMAIL
25apr90 20:22:17 #19 (DCSOPEN) RUNLIC 140012,,0
25apr90 20:22:18 #19 (DCSOPEN) NEXIT (MAIL)RDMAIL
25apr90 20:22:27 #19 (DCSOPEN) RUN (SYS)PCOM
25apr90 20:22:27 #19 (DCSOPEN) RUNLIC 777717,,0
25apr90 20:22:28 #29 (DCSOPEN) LOGIN St. Louis :0 TID='20
25apr90 20:22:28 #29 (DCSOPEN) RUN (SYS)PCOM
25apr90 20:22:28 #29 (DCSOPEN) RUNLIC 777717,,0
25apr90 20:22:29 #30 (DCSOPEN) LOGIN St. Louis :0 TID='20
25apr90 20:22:29 #19 (DCSOPEN) NEXIT (SYS)PCOM
25apr90 20:22:29 #30 (DCSOPEN) RUN (SYS)OPER
25apr90 20:22:29 #30 (DCSOPEN) RUNLIC 775717,,0
25apr90 20:22:30 #30 (DCSOPEN) SETLIC (SYS)OPER LIC=775717,,40012
25apr90 20:22:30 #30 (DCSOPEN) TATTLE OPER RUSSELL 40012 okay
25apr90 20:22:30 #30 (DCSOPEN) NEXIT (SYS)OPER
25apr90 20:22:30 #30 (DCSOPEN) RUN (SYS)RPG
25apr90 20:22:30 #30 (DCSOPEN) RUNLIC 42012,,40012
25apr90 20:22:31 #30 (DCSOPEN) RUN (SYS)PIP
25apr90 20:22:31 #30 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:22:31 #19 (DCSOPEN) RUN (SYS)LOGOUT
25apr90 20:22:31 #19 (DCSOPEN) RUNLIC 547000,,0
25apr90 20:22:31 #19 (DCSOPEN) LOGOUT TRUs = 23.5
25apr90 20:22:31 #30 (DCSOPEN) NEXIT (SYS)PIP
25apr90 20:22:31 #30 (DCSOPEN) RUN (SYS)RPG
25apr90 20:22:32 #30 (DCSOPEN) RUNLIC 42012,,40012
