0239009091011YANKEE       35525  4271 12SPOOL       111   105 10     0      0820909
0238909091008YANKEE       35525  4271 12SPOOL       11001   0   371745      3820909
0238909091008YANKEE       35525  4271 12SPOOL       111   303 10     0      0820909
0239109091015YANKEE       35525  4271 12SPOOL       11001   0  1470150      1820909
0239109091015YANKEE       35525  4271 12SPOOL       111   176 10     0      0820909
0241809151522SCAMP1       24326222306 112H006A/GDR.D11001   0  1355010      1820916
0241809151522SCAMP1       24326222306 112H006A/GDR.D111   334 10     0      0820916
0243409201118YANKEE       35525  4271 12SPOOL       11001   0   319370      4820920
0243409201118YANKEE       35525  4271 12SPOOL       111   288 10     0      0820920
0242709191922YANKEE       35525  4271 12SPOOL       11001   0  1968525      2820920
0242709191922YANKEE       35525  4271 12SPOOL       111   999 10     0      0820920
0244309221538FNCA         21112171360 71RESTAURANT  11001   0    14275      1820922
0244309221538FNCA         21112171360 71RESTAURANT  111    16 10     0      0820922
0243609201856YANKEE       35525  4271 12SPOOL       11001   0  1540910      1820922
0243609201856YANKEE       35525  4271 12SPOOL       111   184 10     0      0820922
0253810061316YANKEE       35525  4271 12INVOIC      11001   0  1611110      1821006
0253810061316YANKEE       35525  4271 12INVOIC      111   684 10     0      0821006
0251910040922LMARTOK      33231326454182MONTHLYPRT  11001   0   600950      1821007
0251910040922LMARTOK      33231326454182MONTHLYPRT  111   130 10     0      0821007
0254010061431YANKEE       35525  4271 12INVOICE     11001   0  2519000      5821007
0254010061431YANKEE       35525  4271 12INVOICE     111   982 10     0      0821007
0254310070204YANKEE       35525  4271 12PERP        11001   0  1644870      1821008
0254310070204YANKEE       35525  4271 12PERP        111   198 10     0      0821008
0253910061429YANKEE       35525  4271 12INVOICE     11001   0   212340      1821008
0253910061429YANKEE       35525  4271 12INVOICE     111   200 10     0      0821008
0255810110935DIST182A     16362156604182EDWINPRT    01001   0   580330     51821014
0255810110935DIST182A     16362156604182EDWINPRT    011   266 10     0      0821014
0255510110823DIST182A     16362156604182EDWINPRT    01001   0   572100     19821014
0255510110823DIST182A     16362156604182EDWINPRT    011   258 10     0      0821014
0261510210328YANKEE       35525  4271 12INVOICE     11001   0   368683      1821022
0261510210328YANKEE       35525  4271 12INVOICE     111  1041 10     0      0821022
0263510251410YANKEE       35525  4271 12REPORTS     11001   0   505438      1821025
0263510251410YANKEE       35525  4271 12REPORTS     111   331 10     0      0821025
0269011072256YANKEE       35525  4271 12SPOOL       11001   0  1745186      2821108
0269011072256YANKEE       35525  4271 12SPOOL       111  2013 10     0      0821108
0269911091719YANKEE       35525  4271 12SPOOL       11001   0  1817060      1821110
0269911091719YANKEE       35525  4271 12SPOOL       111   230 10     0      0821110
0270311101129SCAMP1       24326222306 112H006A/GDR.D11001   0  1391590      1821111
0270311101129SCAMP1       24326222306 112H006A/GDR.D111   340 10     0      0821111
0274611221040YANKEE       35525  4271 12SPOOL       11001   0   115558      1821122
0274611221040YANKEE       35525  4271 12SPOOL       111   987 10     0      0821122
0273911212157YANKEE       35525  4271 12SPOOL       11001   0   716143      1821123
0273911212157YANKEE       35525  4271 12SPOOL       111   354 10     0      0821123
0280112052246YANKEE       35525  4271 12SPOOL       11001   0   656863      1821206
0280112052246YANKEE       35525  4271 12SPOOL       111  1077 10     0      0821206
0280012052244YANKEE       35525  4271 12SPOOL       11001   0   801478      1821206
0280012052244YANKEE       35525  4271 12SPOOL       111   891 10     0      0821206
0280912061951YANKEE       35525  4271 12SPOOL       11001   0   525320      1821207
0280912061951YANKEE       35525  4271 12SPOOL       111   318 10     0      0821207
0279912052242YANKEE       35525  4271 12SPOOL       11001   0  1962930      1821207
0279912052242YANKEE       35525  4271 12SPOOL       111   248 10     0      0821207
0287312211516YANKEE       35525  4271 12SPOOL       11001   0  2589200      2821222
0287312211516YANKEE       35525  4271 12SPOOL       111  1170 10     0      0821222
0286412210045YANKEE       35525  4271 12SPOOL       11001   0  2037370      1821222
0286412210045YANKEE       35525  4271 12SPOOL       111   250 10     0      0821222
0292112301148SCAMP1       24326222306 112HI]006A/GDR11001   0  1346560      1821231
