0227201182347BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0227301190816BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0227401191616FRANK            4111413  2MAGCON      0000000000000000000000000000000
0227501192105BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0227601192204BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0227901201822BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0228001210800DANIELSR         1142734  0FILE SAVE   0000000000000000000000000000000
0228101211109DCSFRS       16316177547249LJB         0000000000000000000000000000000
0228401211218FRANK            4111413  2MAGCON      0000000000000000000000000000000
0228601220830BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0228701221521FRANK            4111413  2MAGCON      0000000000000000000000000000000
0228801231553BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0228901232356BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0229101240946BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0229401241509CONXTMP      42460317534249Y           1000000000000000000000000000000
0229601242358BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0229901261042FRANK            4111413  2MAGCON      0000000000000000000000000000000
0230001261336FRANK            4111413  2ACTG        0000000000000000000000000000000
0230101262045BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0230401262226BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0230501270933BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0230601272243BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0230701281009BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0230801281516DCSFRS       16316177547249LJB         0000000000000000000000000000000
0231001282329BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0231101291012BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0231201291440FRANK            4111413  2MAGCON      0000000000000000000000000000000
0231301300934BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0231401301124BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0231501301945KLPGTMP      42460313476249KOCH RESTORE1000000000000000000000000000000
0231601301949ALICIABX     16316453375249RESTORE PENN0000000000000000000000000000000
0231801310953BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0232101311154BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0132301311622ALICIABX     16316453375249FOLLOW-UP TO0000000000000000000000000000000
0232401312319BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0233302012221BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0233402020919BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0233502021041FRANK            4111413  2MAGCON      0000000000000000000000000000000
0233602021608BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0234202030852DCSFRS       16316177547249LJB         0000000000000000000000000000000
0234302031115DCSFRS       16316177547249LJB         0000000000000000000000000000000
0134402031016FRANK            4111413  2ATTT TAPE MV0000000000000000000000000000000
0234502031613FRANK            4111413  2MAGCON      0000000000000000000000000000000
0235002041000BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0235202042259BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0235302051842BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0235402052241BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0235502060910BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0235602062314BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0235902071138BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0236502081022FRANK            4111413  2MAGCON      0000000000000000000000000000000
0236802091422BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0236902091450FRANK            4111413  2MAGCON      0000000000000000000000000000000
0237102100854NETSTAT      21477205635201A B FILE REC0000000000000000000000000000000
0237202101454FRANK            4111413  2MAGCON      0000000000000000000000000000000
0237302101721FRANK            4111413  2ACTG        0000000000000000000000000000000
0237402102233BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0237502110849BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0237602111213FRANK            4111413  2MAGCON      0000000000000000000000000000000
0237802121347BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0237902121354FRANK            4111413  2MAGCON      0000000000000000000000000000000
0238002130028BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0238102131248CONXTMP      42460317534249Y           1000000000000000000000000000000
0238202131655PNZOTMP      44425217245249Y           1000000000000000000000000000000
0238302131700PNZOTMP      44425217245249Y           1000000000000000000000000000000
0238402140816BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0238602141210PNZOTMP      44425217245249LOAD PNZOTMP1000000000000000000000000000000
0238902141344BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0239102151326BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0239402161050NETSTAT      21477205635201FILE RECOVER0000000000000000000000000000000
0239802161833BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0239902170952DCSFRS       16316177547249LJB         0000000000000000000000000000000
0140002170957DCSFRS       16316177547249LJB         0000000000000000000000000000000
0240102170825FRANK            4111413  2MAGCON      0000000000000000000000000000000
0240302170931OPER             1    21  0            0000000000000000000000000000000
0240402171413FRANK            4111413  2RE-MAKE OF D0000000000000000000000000000000
0240502180810BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0240602180847FRANK            4111413  2MAGCON      0000000000000000000000000000000
